ID,Category,Subcategory,Pricing,Link,Sales,Stars
1,"Graphics & Design,Programmimg & Tech","Logo Design,Wordpress","125,200",designsbysaba | Profile | Fiverr,"479,1","4.9,5"
2,Graphics & Design,"Logo Design,Brand Style Guides","70,40",borydesign | Profile | Fiverr,"1k+,43","4.9,5"
3,Graphics & Design,"Logo Design,Flyer Design,Business Cards and Stationery,Social Media Design","40,50,30,40",adripoggetti | Profile | Fiverr,"1k+,203,93,12","4.9,5,4.9,5"
4,"Graphics & Design,Programmimg & Tech","Logo Design,Wordpress","300,995",graphic_traffic | Profile | Fiverr,"487,2","5,5"
5,Graphics & Design,"Logo Design,Packaging Design,Label Design","50,80,80",lowobiru | Profile | Fiverr,"1K+,5,2","4.9,4.3,5"
6,Graphics & Design,"Brand Style Guides,Logo Design","100,125",natasha_designz | Profile | Fiverr,"1k+,156","4.9,4.9"
7,Graphics & Design,"Brand Style Guides,Business Cards and Stationery ,Logo Design","85,45,100",hell_cursor | Profile | Fiverr,"539,80,40","4.9,5,5"
8,Graphics & Design,"Brand Style Guides,Business Cards and Stationery ,Logo Design,Social Media Design","45,25,15,15",mewindson | Profile | Fiverr,"62,16,35,6","4.9,5,5,4.9"
9,Graphics & Design,"Brand Style Guides,Business Cards and Stationery ,Logo Design,Vector Tracing","65,25,50,10",kristi_cantrell | Profile | Fiverr,"159,13,853,226","4.9,4.9,5,4.9"
10,Graphics & Design,"Logo Design,Brand Style Guides","45,100",thedesignaffair | Profile | Fiverr,"1k+,51","4.9,4.8"
12,Graphics & Design,"Illustration,Game Art,Backgrounds & Environments","40,100,50",danh_art | Profile | Fiverr,"1k+,112,1","4.9,4.9,4.7"
13,"Graphics & Design,Writing & Translation","Illustration,Game Art,Translation,Portraits & Caricatures,Pattern Design","10,30,20,55,20",doantrang | Profile | Fiverr,"1k+,710,46,5,6","5,5,5,4.7,4.8"
14,Graphics & Design,"Game Art,Illustration","50,50",hoangtejieng | Profile | Fiverr,"418,207","5,5"
15,Graphics & Design,"Graphics for Streamers,Social Media Design","30,40",prlllnce | Profile | Fiverr,"1k+,804","4.9,4.9"
16,Graphics & Design,"Graphics for Streamers,Logo Design,NFT Art,Illustration","15,25,100,20",guraguradesign | Profile | Fiverr,"1k+,172,19,8","5,5,4.9,5"
17,Graphics & Design,"Graphics for Streamers,NFT Art,Illustration","15,45,150",kurvacadavra | Profile | Fiverr,"1k+,403,31","5,5,5"
18,Graphics & Design,"Graphics for Streamers,Cartoons & Comics,Illustration","10,10,20",mikucchi | Profile | Fiverr,"560,110,342","5,5,5"
19,"Graphics & Design,Lifestyle","Business Cards and Stationery,Other","5,5",arunwilson | Profile | Fiverr,"1k+,33","5,5"
20,Graphics & Design,"Business Cards and Stationery,Logo Design,Flyer Design","20,75,45",mohinkhan007 | Profile | Fiverr,"26,11,6","4.9,5,5"
21,"Graphics & Design,Video & Animat5ion","Business Cards and Stationery,Logo Design,Whiteboard & Animated Explainers","10,25,90",fiverdesignz | Profile | Fiverr,"1k+,1k+,10","4.9,4.9,5"
22,Graphics & Design,"Flyer Design,Social Media Design,Business Cards and Stationery,Brochure Design","30,25,15,15",zameerameerdeen | Profile | Fiverr,"1k+,919,120,86","5,5,5,5"
23,Graphics & Design,"Business Cards and Stationery,Logo Design,Flyer Design,Packaging & Label Design,Catalog Design","25,20,30,25,40",danijelagranic | Profile | Fiverr,"987,206,135,73,37","5,5,4.9,4.9,5"
24,Graphics & Design,"Graphics for Streamers,Illustration,NFT Art","15,45,150",kurvacadavra | Profile | Fiverr,"1k+,403,31","5,5,5"
25,Graphics & Design,"Illustrations,Cartoons & Comics","30,35",benymaulana | Profile | Fiverr,"249,12","5,5"
26,Digital Marketing,"SEO,Market Research","10,15",zahidul007 | Profile | Fiverr,"690,114","4.9,4.9"
27,Digital Marketing,"SEO,SEM","595,275",thefactomike | Profile | Fiverr,"275,31","5,5"
28,"Digital Marketing,Programming & Tech","SEO,Wordpress","10,50",webchillyx | Profile | Fiverr,"473,45","5,5"
29,Digital Marketing,"SEO,Web Analytics","20,5",ozzieuk | Profile | Fiverr,"1k+,1k+","4.9,5"
30,Digital Marketing,"Content Marketing,SEO,Music Promotion","190,295,190",monicarobins | Profile | Fiverr,"679,341,41","5,5,5"
31,Digital Marketing,"Social Media Marketing,Social Media Copy","30,40",arditaardi | Profile | Fiverr,"313,10","4.9,5"
32,Digital Marketing,"Social Media Marketing,Social Media Advertising","95,145",instagram_boy | Profile | Fiverr,"180,30","5,5"
33,"Digital Marketing,Graphics Design","Social Media Marketing,Social Media Advertising,Logo Design","70,60,40",sinkeedgedesign | Profile | Fiverr,"902,229,27","5,5,5"
34,"Digital Marketing,Graphics Design","Social Media Marketing,Social Media Design,Icon Design","30,65,10",pure_service | Profile | Fiverr,"376,138,79","5,5,5"
35,Digital Marketing,"Social Media Marketing,Social Media Copy","220,70",gledaarapi | Profile | Fiverr,"594,30","4.9,4.8"
